一个 [o][j]
不错 [x][tqr]
街上 [temem][f]
人物 [u][tra]
肚子 [teaai][trx]
必须 [etot][etou]
可怜 [ea][teinn]
作为 [eg][c]
见过 [etks][tic]
沉默 [etfy][tenkl]
充满 [tag][teore]
姐姐 [teknu][teknu]
来越 [el][terar]
越来 [terar][el]
桌上 [teumx][f]
么办 [txk][etuo]
至于 [etxn][em]
进行 [toc][eu]
新月 [tch][tok]
文学 [toi][ep]
再也 [etok][tos]
人民 [u][thl]
历史 [etmn][etln]
之中 [tis][m]
